gene,cluster_id,timepoint,cluster_name,n_cells,pct_pos,is_pronephros
pax2a,55,14,14hpf-tailbud - PSM,299,7.36,False
pax2a,56,14,14hpf-epidermal anterior,313,7.03,False
pax2a,57,14,14hpf-neural - hindbrain,298,11.07,False
pax2a,58,14,14hpf-endoderm,57,19.3,False
pax2a,59,14,14hpf-epidermal - foxi3a,75,9.33,False
pax2a,60,14,14hpf-neural crest,201,5.97,False
pax2a,61,14,14hpf-mesoderm - pharyngeal arch,71,5.63,False
pax2a,62,14,14hpf-notocord,42,2.38,False
pax2a,63,14,14hpf-epidermal - otic placode,69,88.41,False
pax2a,64,14,14hpf-mesoderm - heart field,67,7.46,False
pax2a,65,14,14hpf-differentiating neurons - rohon beard,29,0.0,False
pax2a,66,14,14hpf-mesoderm - lateral plate - cxcl12a,44,40.91,False
pax2a,67,14,14hpf-neural crest - crestin,82,7.32,False
pax2a,68,14,14hpf-neural - midbrain,340,43.82,False
pax2a,69,14,14hpf-mesoderm - pronephric duct,14,92.86,True
pax2a,70,14,14hpf-neural -  floorplate,13,7.69,False
pax2a,71,14,14hpf-germline,5,0.0,False
pax2a,72,14,14hpf-hatching gland,14,7.14,False
pax2a,73,14,14hpf-periderm,11,27.27,False
pax2a,74,14,14hpf-mesoderm - endothelial,33,12.12,False
pax2a,75,14,14hpf-tailbud - spinal cord,547,7.13,False
pax2a,76,14,14hpf-neural - telencephalon,174,5.17,False
pax2a,77,14,14hpf-lateral line primordium,84,40.48,False
pax2a,78,14,14hpf-differentiating neurons,24,37.5,False
pax2a,79,18,18hpf-neural - diencephalon,161,10.56,False
pax2a,80,18,18hpf-neural - midbrain,988,26.11,False
pax2a,81,18,18hpf-epidermal - olfactory placode,28,10.71,False
pax2a,82,18,18hpf-neural - telencephalon,301,24.25,False
pax2a,83,18,18hpf-neural - dorsal hindbrain,578,11.25,False
pax2a,84,18,18hpf-differentiating neurons,252,21.43,False
pax2a,85,18,18hpf-ionocyte - ca2,48,14.58,False
pax2a,86,18,18hpf-epidermal - anterior,182,15.93,False
pax2a,87,18,18hpf-hatching gland,20,10.0,False
pax2a,88,18,18hpf-epidermal - sox4b,59,8.47,False
pax2a,89,18,18hpf-optic cup,390,29.49,False
pax2a,90,18,18hpf-tailbud - spinal cord,277,6.86,False
pax2a,91,18,18hpf-pectoral fin field,66,22.73,False
pax2a,92,18,18hpf-heart field,158,12.03,False
pax2a,93,18,18hpf-lens placode,39,15.38,False
pax2a,94,18,18hpf-neural crest - grem2,281,14.59,False
pax2a,95,18,18hpf-erythroid,256,26.17,False
pax2a,96,18,18hpf-macrophage,30,16.67,False
pax2a,97,18,18hpf-tailbud - PSM,407,14.0,False
pax2a,98,18,18hpf-myotome,169,15.38,False
pax2a,99,18,18hpf-notocord,28,14.29,False
pax2a,NaN,?,(unknown),17,5.88,False
wt1a,100,18,18hpf-endothelial,149,5.37,False
wt1a,101,18,18hpf-otic placode,51,3.92,False
wt1a,102,18,18hpf-neural - hindbrain ventral nkx6.2,76,2.63,False
wt1a,103,18,18hpf-germline,9,0.0,False
wt1a,105,18,18hpf-pronephric duct - posterior,11,0.0,True
wt1a,106,18,18hpf-neural -  floorplate,6,0.0,False
wt1a,107,18,18hpf-heart mature,17,0.0,False
wt1a,108,18,18hpf-macrophage - ly75,14,0.0,False
wt1a,109,18,18hpf-pronephric duct,10,0.0,True
wt1a,110,18,18hpf-periderm,15,0.0,False
wt1a,111,18,18hpf-pancreas primordium,8,0.0,False
wt1a,112,18,18hpf-differentiating neurons - rohon beard,26,3.85,False
wt1a,113,18,18hpf-retina pigmented epithelium,46,0.0,False
wt1a,114,18,18hpf-differentiating neurons - dlx,30,3.33,False
wt1a,115,18,18hpf-epidermal - pfn1,383,0.26,False
wt1a,116,18,18hpf-lateral line primordium,46,0.0,False
wt1a,117,18,18hpf-endoderm,142,3.52,False
wt1a,118,18,18hpf-neural - midbrain ventral nkx6.2,126,0.79,False
wt1a,119,18,18hpf-pharyngeal arch,202,1.98,False
wt1a,120,18,18hpf-neural crest - crestin,148,2.7,False
wt1a,121,18,18hpf-differentiating neurons - phox2a,8,12.5,False
wt1a,122,18,18hpf-differentiating neurons - eomesa,28,3.57,False
wt1a,123,18,18hpf-neural - ventral hindbrain,684,1.17,False
wt1a,124,24,24hpf-differentiating neurons - hmx,30,0.0,False
wt1a,125,24,24hpf-differentiating neurons - dlx,65,0.0,False
wt1a,126,24,24hpf-epidermal - prr15la,24,4.17,False
wt1a,127,24,24hpf-pancreas primordium,6,0.0,False
wt1a,128,24,24hpf-ionocyte - ca2,31,0.0,False
wt1a,129,24,24hpf-leukocyte,13,0.0,False
wt1a,130,24,24hpf-neural - ventral hindbrain,911,0.55,False
wt1a,131,24,24hpf-erythroid,506,1.19,False
wt1a,132,24,24hpf-differentiating neurons - phox2a,44,2.27,False
wt1a,133,24,24hpf-mesoderm - emp2,31,0.0,False
wt1a,134,24,24hpf-differentiating neurons,523,0.19,False
wt1a,136,24,24hpf-neural - midbrain,1211,0.58,False
wt1a,137,24,24hpf-neural - dorsal spinal cord,31,0.0,False
wt1a,138,24,24hpf-neural - diencephalon,203,0.0,False
wt1a,139,24,24hpf-neural crest,8,0.0,False
wt1a,140,24,24hpf-optic cup,772,0.39,False
wt1a,141,24,24hpf-periderm,22,0.0,False
wt1a,142,24,24hpf-tailbud - spinal cord,144,0.0,False
wt1a,143,24,24hpf-pectoral fin bud,104,0.0,False
wt1a,144,24,24hpf-macrophage,61,0.0,False
wt1a,145,24,24hpf-epidermal - grhl3,12,0.0,False
wt1a,146,24,24hpf-epidermal - olfactory placode,44,0.0,False
wt1a,147,24,24hpf-neural - dorsal hindbrain,667,1.05,False
wt1a,148,24,24hpf-otic placode,33,0.0,False
wt1a,149,24,24hpf-endoderm,64,0.0,False
wt1a,150,24,24hpf-myotome,32,0.0,False
wt1a,151,24,24hpf-pharyngeal pouch,53,0.0,False
wt1a,152,24,24hpf-epidermal - anterior,75,0.0,False
wt1a,153,24,24hpf-tailbud - PSM,23,0.0,False
wt1a,154,24,24hpf-pharyngeal arch - tbx1,22,0.0,False
wt1a,155,24,24hpf-endothelial,127,0.79,False
wt1a,156,24,24hpf-hatching gland,32,0.0,False
wt1a,157,24,24hpf-differentiating neurons - eomesa,101,1.98,False
wt1a,158,24,24hpf-pharyngeal arch - cd248b,135,0.74,False
wt1a,159,24,24hpf-lens,14,0.0,False
wt1a,160,24,24hpf-neural - floorplate,9,0.0,False
wt1a,161,24,24hpf-endothelial - posterior,53,0.0,False
wt1a,164,24,24hpf-epidermal - atp1a1a.2,38,0.0,False
wt1a,165,24,24hpf-neural - hindbrain roofplate,37,2.7,False
wt1a,166,24,24hpf-differentiating neurons - rohon beard,62,0.0,False
wt1a,167,24,24hpf-retina pigmented epithelium,37,0.0,False
wt1a,168,24,24hpf-neural - telencephalon,351,0.28,False
wt1a,169,24,24hpf-neural - midbrain ventral nkx6.2,191,0.0,False
wt1a,170,24,24hpf-neural - hindbrain gsx1,245,1.22,False
wt1a,171,24,24hpf-neural - posterior ventral nkx6.2,146,0.68,False
wt1a,172,24,24hpf-germline,9,0.0,False
wt1a,174,24,24hpf-heart,71,1.41,False
wt1a,177,24,24hpf-neural - diencephalon posterior,46,0.0,False
wt1a,178,24,24hpf-pharyngeal arch - ndnf,44,0.0,False
wt1a,179,24,24hpf-heart - hoxd9a,34,0.0,False
wt1a,180,24,24hpf-epidermal - muc5ac,17,0.0,False
wt1a,182,24,24hpf-neural crest - xanthophore,27,0.0,False
wt1a,183,24,24hpf-neural crest - melanoblast,23,0.0,False
wt1a,184,24,24hpf-neural crest - iridoblast,5,0.0,False
wt1a,185,24,24hpf-neural crest - grem2,92,0.0,False
wt1a,186,24,24hpf-neural crest - mcamb,52,0.0,False
wt1a,187,24,24hpf-pronephric duct,8,0.0,True
wt1a,189,24,24hpf-epidermal - s100a11,8,0.0,False
wt1a,190,24,24hpf-lateral line - krt15,14,0.0,False
wt1a,191,24,24hpf-epidermal - and1,26,0.0,False
wt1a,193,24,24hpf-epidermal - rbp4,35,5.71,False
wt1a,194,24,24hpf-epidermal - col7a1l,60,0.0,False
wt1a,195,24,24hpf-epidermal - kera,24,4.17,False
wt1a,51,14,14hpf-epidermal - pfn1,741,0.13,False
wt1a,52,14,14hpf-optic primordium,223,0.45,False
wt1a,53,14,14hpf-mesoderm - blood island,43,2.33,False
wt1a,54,14,14hpf-neural - diencephalon,88,1.14,False
wt1a,55,14,14hpf-tailbud - PSM,299,1.0,False
wt1a,56,14,14hpf-epidermal anterior,313,0.32,False
wt1a,57,14,14hpf-neural - hindbrain,298,0.34,False
wt1a,58,14,14hpf-endoderm,57,1.75,False
wt1a,59,14,14hpf-epidermal - foxi3a,75,1.33,False
wt1a,60,14,14hpf-neural crest,201,1.0,False
wt1a,61,14,14hpf-mesoderm - pharyngeal arch,71,0.0,False
wt1a,62,14,14hpf-notocord,42,0.0,False
wt1a,63,14,14hpf-epidermal - otic placode,69,0.0,False
wt1a,64,14,14hpf-mesoderm - heart field,67,1.49,False
wt1a,65,14,14hpf-differentiating neurons - rohon beard,29,0.0,False
wt1a,66,14,14hpf-mesoderm - lateral plate - cxcl12a,44,0.0,False
wt1a,67,14,14hpf-neural crest - crestin,82,0.0,False
wt1a,68,14,14hpf-neural - midbrain,340,0.29,False
wt1a,69,14,14hpf-mesoderm - pronephric duct,14,0.0,True
wt1a,70,14,14hpf-neural -  floorplate,13,0.0,False
wt1a,71,14,14hpf-germline,5,0.0,False
wt1a,72,14,14hpf-hatching gland,14,0.0,False
wt1a,73,14,14hpf-periderm,11,0.0,False
wt1a,74,14,14hpf-mesoderm - endothelial,33,0.0,False
wt1a,75,14,14hpf-tailbud - spinal cord,547,0.0,False
wt1a,76,14,14hpf-neural - telencephalon,174,0.57,False
wt1a,77,14,14hpf-lateral line primordium,84,0.0,False
wt1a,78,14,14hpf-differentiating neurons,24,0.0,False
wt1a,79,18,18hpf-neural - diencephalon,161,1.86,False
wt1a,80,18,18hpf-neural - midbrain,988,2.53,False
wt1a,81,18,18hpf-epidermal - olfactory placode,28,3.57,False
wt1a,82,18,18hpf-neural - telencephalon,301,0.66,False
wt1a,83,18,18hpf-neural - dorsal hindbrain,578,1.38,False
wt1a,84,18,18hpf-differentiating neurons,252,2.38,False
wt1a,85,18,18hpf-ionocyte - ca2,48,2.08,False
wt1a,86,18,18hpf-epidermal - anterior,182,1.65,False
wt1a,87,18,18hpf-hatching gland,20,0.0,False
wt1a,88,18,18hpf-epidermal - sox4b,59,1.69,False
wt1a,89,18,18hpf-optic cup,390,3.33,False
wt1a,90,18,18hpf-tailbud - spinal cord,277,1.81,False
wt1a,91,18,18hpf-pectoral fin field,66,1.52,False
wt1a,92,18,18hpf-heart field,158,5.7,False
wt1a,93,18,18hpf-lens placode,39,0.0,False
wt1a,94,18,18hpf-neural crest - grem2,281,1.78,False
wt1a,95,18,18hpf-erythroid,256,6.25,False
wt1a,96,18,18hpf-macrophage,30,3.33,False
wt1a,97,18,18hpf-tailbud - PSM,407,2.21,False
wt1a,98,18,18hpf-myotome,169,2.37,False
wt1a,99,18,18hpf-notocord,28,0.0,False
wt1a,NaN,?,(unknown),17,0.0,False
wt1b,100,18,18hpf-endothelial,149,6.71,False
wt1b,101,18,18hpf-otic placode,51,5.88,False
wt1b,102,18,18hpf-neural - hindbrain ventral nkx6.2,76,3.95,False
wt1b,103,18,18hpf-germline,9,0.0,False
wt1b,105,18,18hpf-pronephric duct - posterior,11,0.0,True
wt1b,106,18,18hpf-neural -  floorplate,6,0.0,False
wt1b,107,18,18hpf-heart mature,17,23.53,False
wt1b,108,18,18hpf-macrophage - ly75,14,21.43,False
wt1b,109,18,18hpf-pronephric duct,10,0.0,True
wt1b,110,18,18hpf-periderm,15,6.67,False
wt1b,111,18,18hpf-pancreas primordium,8,12.5,False
wt1b,112,18,18hpf-differentiating neurons - rohon beard,26,11.54,False
wt1b,113,18,18hpf-retina pigmented epithelium,46,4.35,False
wt1b,114,18,18hpf-differentiating neurons - dlx,30,0.0,False
wt1b,115,18,18hpf-epidermal - pfn1,383,3.92,False
wt1b,116,18,18hpf-lateral line primordium,46,2.17,False
wt1b,117,18,18hpf-endoderm,142,11.27,False
wt1b,118,18,18hpf-neural - midbrain ventral nkx6.2,126,5.56,False
wt1b,119,18,18hpf-pharyngeal arch,202,11.88,False
wt1b,120,18,18hpf-neural crest - crestin,148,5.41,False
wt1b,121,18,18hpf-differentiating neurons - phox2a,8,12.5,False
wt1b,122,18,18hpf-differentiating neurons - eomesa,28,0.0,False
wt1b,123,18,18hpf-neural - ventral hindbrain,684,4.68,False
wt1b,124,24,24hpf-differentiating neurons - hmx,30,3.33,False
wt1b,125,24,24hpf-differentiating neurons - dlx,65,3.08,False
wt1b,126,24,24hpf-epidermal - prr15la,24,4.17,False
wt1b,127,24,24hpf-pancreas primordium,6,0.0,False
wt1b,128,24,24hpf-ionocyte - ca2,31,0.0,False
wt1b,129,24,24hpf-leukocyte,13,0.0,False
wt1b,130,24,24hpf-neural - ventral hindbrain,911,1.65,False
wt1b,131,24,24hpf-erythroid,506,2.57,False
wt1b,132,24,24hpf-differentiating neurons - phox2a,44,9.09,False
wt1b,133,24,24hpf-mesoderm - emp2,31,3.23,False
wt1b,134,24,24hpf-differentiating neurons,523,2.68,False
wt1b,136,24,24hpf-neural - midbrain,1211,2.48,False
wt1b,137,24,24hpf-neural - dorsal spinal cord,31,3.23,False
wt1b,138,24,24hpf-neural - diencephalon,203,1.97,False
wt1b,139,24,24hpf-neural crest,8,12.5,False
wt1b,140,24,24hpf-optic cup,772,3.5,False
wt1b,141,24,24hpf-periderm,22,13.64,False
wt1b,142,24,24hpf-tailbud - spinal cord,144,3.47,False
wt1b,143,24,24hpf-pectoral fin bud,104,8.65,False
wt1b,144,24,24hpf-macrophage,61,3.28,False
wt1b,145,24,24hpf-epidermal - grhl3,12,8.33,False
wt1b,146,24,24hpf-epidermal - olfactory placode,44,2.27,False
wt1b,147,24,24hpf-neural - dorsal hindbrain,667,1.95,False
wt1b,148,24,24hpf-otic placode,33,3.03,False
wt1b,149,24,24hpf-endoderm,64,9.38,False
wt1b,150,24,24hpf-myotome,32,0.0,False
wt1b,151,24,24hpf-pharyngeal pouch,53,1.89,False
wt1b,152,24,24hpf-epidermal - anterior,75,4.0,False
wt1b,153,24,24hpf-tailbud - PSM,23,4.35,False
wt1b,154,24,24hpf-pharyngeal arch - tbx1,22,9.09,False
wt1b,155,24,24hpf-endothelial,127,2.36,False
wt1b,156,24,24hpf-hatching gland,32,9.38,False
wt1b,157,24,24hpf-differentiating neurons - eomesa,101,1.98,False
wt1b,158,24,24hpf-pharyngeal arch - cd248b,135,4.44,False
wt1b,159,24,24hpf-lens,14,0.0,False
wt1b,160,24,24hpf-neural - floorplate,9,0.0,False
wt1b,161,24,24hpf-endothelial - posterior,53,3.77,False
wt1b,164,24,24hpf-epidermal - atp1a1a.2,38,5.26,False
wt1b,165,24,24hpf-neural - hindbrain roofplate,37,2.7,False
wt1b,166,24,24hpf-differentiating neurons - rohon beard,62,4.84,False
wt1b,167,24,24hpf-retina pigmented epithelium,37,0.0,False
wt1b,168,24,24hpf-neural - telencephalon,351,1.42,False
wt1b,169,24,24hpf-neural - midbrain ventral nkx6.2,191,1.05,False
wt1b,170,24,24hpf-neural - hindbrain gsx1,245,3.67,False
wt1b,171,24,24hpf-neural - posterior ventral nkx6.2,146,1.37,False
wt1b,172,24,24hpf-germline,9,11.11,False
wt1b,174,24,24hpf-heart,71,28.17,False
wt1b,177,24,24hpf-neural - diencephalon posterior,46,2.17,False
wt1b,178,24,24hpf-pharyngeal arch - ndnf,44,4.55,False
wt1b,179,24,24hpf-heart - hoxd9a,34,5.88,False
wt1b,180,24,24hpf-epidermal - muc5ac,17,5.88,False
wt1b,182,24,24hpf-neural crest - xanthophore,27,3.7,False
wt1b,183,24,24hpf-neural crest - melanoblast,23,0.0,False
wt1b,184,24,24hpf-neural crest - iridoblast,5,20.0,False
wt1b,185,24,24hpf-neural crest - grem2,92,3.26,False
wt1b,186,24,24hpf-neural crest - mcamb,52,3.85,False
wt1b,187,24,24hpf-pronephric duct,8,0.0,True
wt1b,189,24,24hpf-epidermal - s100a11,8,25.0,False
wt1b,190,24,24hpf-lateral line - krt15,14,21.43,False
wt1b,191,24,24hpf-epidermal - and1,26,7.69,False
wt1b,193,24,24hpf-epidermal - rbp4,35,2.86,False
wt1b,194,24,24hpf-epidermal - col7a1l,60,1.67,False
wt1b,195,24,24hpf-epidermal - kera,24,0.0,False
wt1b,51,14,14hpf-epidermal - pfn1,741,3.24,False
wt1b,52,14,14hpf-optic primordium,223,5.38,False
wt1b,53,14,14hpf-mesoderm - blood island,43,2.33,False
wt1b,54,14,14hpf-neural - diencephalon,88,4.55,False
wt1b,55,14,14hpf-tailbud - PSM,299,1.67,False
wt1b,56,14,14hpf-epidermal anterior,313,6.39,False
wt1b,57,14,14hpf-neural - hindbrain,298,2.68,False
wt1b,58,14,14hpf-endoderm,57,5.26,False
wt1b,59,14,14hpf-epidermal - foxi3a,75,4.0,False
wt1b,60,14,14hpf-neural crest,201,6.47,False
wt1b,61,14,14hpf-mesoderm - pharyngeal arch,71,0.0,False
wt1b,62,14,14hpf-notocord,42,4.76,False
wt1b,63,14,14hpf-epidermal - otic placode,69,4.35,False
wt1b,64,14,14hpf-mesoderm - heart field,67,11.94,False
wt1b,65,14,14hpf-differentiating neurons - rohon beard,29,13.79,False
wt1b,66,14,14hpf-mesoderm - lateral plate - cxcl12a,44,4.55,False
wt1b,67,14,14hpf-neural crest - crestin,82,4.88,False
wt1b,68,14,14hpf-neural - midbrain,340,4.71,False
wt1b,69,14,14hpf-mesoderm - pronephric duct,14,0.0,True
wt1b,70,14,14hpf-neural -  floorplate,13,7.69,False
wt1b,71,14,14hpf-germline,5,0.0,False
wt1b,72,14,14hpf-hatching gland,14,0.0,False
wt1b,73,14,14hpf-periderm,11,0.0,False
wt1b,74,14,14hpf-mesoderm - endothelial,33,0.0,False
wt1b,75,14,14hpf-tailbud - spinal cord,547,3.47,False
wt1b,76,14,14hpf-neural - telencephalon,174,1.15,False
wt1b,77,14,14hpf-lateral line primordium,84,1.19,False
wt1b,78,14,14hpf-differentiating neurons,24,8.33,False
wt1b,79,18,18hpf-neural - diencephalon,161,4.97,False
wt1b,80,18,18hpf-neural - midbrain,988,5.57,False
wt1b,81,18,18hpf-epidermal - olfactory placode,28,10.71,False
wt1b,82,18,18hpf-neural - telencephalon,301,3.99,False
wt1b,83,18,18hpf-neural - dorsal hindbrain,578,7.27,False
wt1b,84,18,18hpf-differentiating neurons,252,11.51,False
wt1b,85,18,18hpf-ionocyte - ca2,48,6.25,False
wt1b,86,18,18hpf-epidermal - anterior,182,2.75,False
wt1b,87,18,18hpf-hatching gland,20,5.0,False
wt1b,88,18,18hpf-epidermal - sox4b,59,6.78,False
wt1b,89,18,18hpf-optic cup,390,6.41,False
wt1b,90,18,18hpf-tailbud - spinal cord,277,3.61,False
wt1b,91,18,18hpf-pectoral fin field,66,12.12,False
wt1b,92,18,18hpf-heart field,158,28.48,False
wt1b,93,18,18hpf-lens placode,39,5.13,False
wt1b,94,18,18hpf-neural crest - grem2,281,7.12,False
wt1b,95,18,18hpf-erythroid,256,10.16,False
wt1b,96,18,18hpf-macrophage,30,16.67,False
wt1b,97,18,18hpf-tailbud - PSM,407,6.14,False
wt1b,98,18,18hpf-myotome,169,5.92,False
wt1b,99,18,18hpf-notocord,28,7.14,False
wt1b,NaN,?,(unknown),17,0.0,False
sim1a,100,18,18hpf-endothelial,149,7.38,False
sim1a,101,18,18hpf-otic placode,51,1.96,False
sim1a,102,18,18hpf-neural - hindbrain ventral nkx6.2,76,1.32,False
sim1a,103,18,18hpf-germline,9,0.0,False
sim1a,105,18,18hpf-pronephric duct - posterior,11,0.0,True
sim1a,106,18,18hpf-neural -  floorplate,6,0.0,False
sim1a,107,18,18hpf-heart mature,17,5.88,False
sim1a,108,18,18hpf-macrophage - ly75,14,7.14,False
sim1a,109,18,18hpf-pronephric duct,10,0.0,True
sim1a,110,18,18hpf-periderm,15,0.0,False
sim1a,111,18,18hpf-pancreas primordium,8,0.0,False
sim1a,112,18,18hpf-differentiating neurons - rohon beard,26,3.85,False
sim1a,113,18,18hpf-retina pigmented epithelium,46,0.0,False
sim1a,114,18,18hpf-differentiating neurons - dlx,30,6.67,False
sim1a,115,18,18hpf-epidermal - pfn1,383,2.09,False
sim1a,116,18,18hpf-lateral line primordium,46,0.0,False
sim1a,117,18,18hpf-endoderm,142,2.11,False
sim1a,118,18,18hpf-neural - midbrain ventral nkx6.2,126,2.38,False
sim1a,119,18,18hpf-pharyngeal arch,202,2.48,False
sim1a,120,18,18hpf-neural crest - crestin,148,2.03,False
sim1a,121,18,18hpf-differentiating neurons - phox2a,8,0.0,False
sim1a,122,18,18hpf-differentiating neurons - eomesa,28,0.0,False
sim1a,123,18,18hpf-neural - ventral hindbrain,684,2.19,False
sim1a,124,24,24hpf-differentiating neurons - hmx,30,0.0,False
sim1a,125,24,24hpf-differentiating neurons - dlx,65,0.0,False
sim1a,126,24,24hpf-epidermal - prr15la,24,0.0,False
sim1a,127,24,24hpf-pancreas primordium,6,0.0,False
sim1a,128,24,24hpf-ionocyte - ca2,31,0.0,False
sim1a,129,24,24hpf-leukocyte,13,7.69,False
sim1a,130,24,24hpf-neural - ventral hindbrain,911,0.44,False
sim1a,131,24,24hpf-erythroid,506,0.4,False
sim1a,132,24,24hpf-differentiating neurons - phox2a,44,2.27,False
sim1a,133,24,24hpf-mesoderm - emp2,31,0.0,False
sim1a,134,24,24hpf-differentiating neurons,523,0.57,False
sim1a,136,24,24hpf-neural - midbrain,1211,0.17,False
sim1a,137,24,24hpf-neural - dorsal spinal cord,31,0.0,False
sim1a,138,24,24hpf-neural - diencephalon,203,0.49,False
sim1a,139,24,24hpf-neural crest,8,12.5,False
sim1a,140,24,24hpf-optic cup,772,0.39,False
