marker,ens_id,in_dataset,n_cells_expressing,pct_expressing,mean_expr,max_expr,scope
slc4a4a,ENSDARG00000013730,True,1,7.142857142857142,0.11796252429485321,1.6514753103256226,14hpf
slc4a4a,ENSDARG00000013730,True,12,57.14285714285714,1.3468562364578247,3.9427571296691895,18hpf
slc4a4a,ENSDARG00000013730,True,8,100.0,2.7786617279052734,4.137385845184326,24hpf
slc4a4a,ENSDARG00000013730,True,2,18.181818181818183,0.17312949895858765,1.0147615671157837,cluster_105
slc4a4a,ENSDARG00000013730,True,10,100.0,2.637955665588379,3.9427571296691895,cluster_109
slc4a4a,ENSDARG00000013730,True,8,100.0,2.7786617279052734,4.137385845184326,cluster_187
slc4a4a,ENSDARG00000013730,True,1,7.142857142857142,0.11796252429485321,1.6514753103256226,cluster_69
tbx2b,ENSDARG00000006120,True,6,13.953488372093023,0.16424432396888733,1.685799479484558,
tbx2b,ENSDARG00000006120,True,0,0.0,0.0,0.0,14hpf
tbx2b,ENSDARG00000006120,True,5,23.809523809523807,0.26067477464675903,1.685799479484558,18hpf
tbx2b,ENSDARG00000006120,True,1,12.5,0.198542058467865,1.58833646774292,24hpf
tbx2b,ENSDARG00000006120,True,5,45.45454545454545,0.4976518452167511,1.685799479484558,cluster_105
tbx2b,ENSDARG00000006120,True,0,0.0,0.0,0.0,cluster_109
tbx2b,ENSDARG00000006120,True,1,12.5,0.198542058467865,1.58833646774292,cluster_187
tbx2b,ENSDARG00000006120,True,0,0.0,0.0,0.0,cluster_69
trpm7,ENSDARG00000036232,True,7,16.27906976744186,0.20730550587177277,1.5740772485733032,
trpm7,ENSDARG00000036232,True,1,7.142857142857142,0.0686471238732338,0.9610596895217896,14hpf
trpm7,ENSDARG00000036232,True,4,19.047619047619047,0.23738238215446472,1.5740772485733032,18hpf
trpm7,ENSDARG00000036232,True,2,25.0,0.3710058331489563,1.5416771173477173,24hpf
trpm7,ENSDARG00000036232,True,2,18.181818181818183,0.20937876403331757,1.5740772485733032,cluster_105
trpm7,ENSDARG00000036232,True,2,20.0,0.26818639039993286,1.434962511062622,cluster_109
trpm7,ENSDARG00000036232,True,2,25.0,0.3710058331489563,1.5416771173477173,cluster_187
trpm7,ENSDARG00000036232,True,1,7.142857142857142,0.0686471238732338,0.9610596895217896,cluster_69
wt1a,ENSDARG00000031420,False,0,0.0,,,
wt1b,ENSDARG00000007990,False,0,0.0,,,
