group,symbol,ens_id,in_dataset,n_cells_expressing,pct_expressing,mean_expr,max_expr
duct_general::day1,gata3,ENSDARG00000016526,True,13,2.199661590524535,0.03343517705798149,2.3620336055755615
duct_general::day2,gata3,ENSDARG00000016526,True,78,8.49673202614379,0.14566361904144287,3.038620710372925
duct_general::day3,gata3,ENSDARG00000016526,True,31,5.575539568345324,0.0963679626584053,2.95121693611145
duct_general,cdh17,ENSDARG00000005112,True,725,35.1089588377724,0.9892889857292175,4.7743144035339355
duct_general::day1,cdh17,ENSDARG00000005112,True,96,16.243654822335024,0.4213874042034149,3.866935968399048
duct_general::day2,cdh17,ENSDARG00000005112,True,412,44.88017429193899,1.427607774734497,4.7743144035339355
duct_general::day3,cdh17,ENSDARG00000005112,True,217,39.02877697841727,0.8692408800125122,4.295817852020264
duct_general,atp1a1a.2,ENSDARG00000007739,True,11,0.5326876513317191,0.009606628678739071,3.3899712562561035
duct_general::day1,atp1a1a.2,ENSDARG00000007739,True,1,0.1692047377326565,0.0014663265319541097,0.8665989637374878
duct_general::day2,atp1a1a.2,ENSDARG00000007739,True,8,0.8714596949891068,0.017028609290719032,3.3899712562561035
duct_general::day3,atp1a1a.2,ENSDARG00000007739,True,2,0.3597122302158274,0.006005086004734039,2.4470856189727783
duct_general,atp1b1b,ENSDARG00000076833,True,168,8.135593220338983,0.16308046877384186,6.535092830657959
duct_general::day1,atp1b1b,ENSDARG00000076833,True,27,4.568527918781726,0.08561984449625015,3.352509021759033
duct_general::day2,atp1b1b,ENSDARG00000076833,True,114,12.418300653594772,0.2580519914627075,6.5016326904296875
duct_general::day3,atp1b1b,ENSDARG00000076833,True,27,4.856115107913669,0.08861169964075089,6.535092830657959
intermediate_meso,emx1,ENSDARG00000039569,True,373,18.062953995157386,0.361131876707077,4.040939807891846
intermediate_meso::day1,emx1,ENSDARG00000039569,True,53,8.967851099830796,0.16482560336589813,2.9791576862335205
intermediate_meso::day2,emx1,ENSDARG00000039569,True,253,27.5599128540305,0.5643200874328613,4.040939807891846
intermediate_meso::day3,emx1,ENSDARG00000039569,True,67,12.050359712230216,0.2343156933784485,3.632143497467041
intermediate_meso,irx3b,ENSDARG00000031138,True,339,16.416464891041162,0.346656858921051,4.063380241394043
intermediate_meso::day1,irx3b,ENSDARG00000031138,True,186,31.472081218274113,0.6814538240432739,3.693906307220459
intermediate_meso::day2,irx3b,ENSDARG00000031138,True,111,12.091503267973856,0.2489604353904724,3.881303071975708
intermediate_meso::day3,irx3b,ENSDARG00000031138,True,42,7.553956834532374,0.15208911895751953,4.063380241394043
intermediate_meso,sim1a,ENSDARG00000023316,True,114,5.520581113801453,0.09916660934686661,3.2621877193450928
intermediate_meso::day1,sim1a,ENSDARG00000023316,True,22,3.7225042301184432,0.06496648490428925,2.9889235496520996
intermediate_meso::day2,sim1a,ENSDARG00000023316,True,42,4.57516339869281,0.06622748076915741,2.29254412651062
intermediate_meso::day3,sim1a,ENSDARG00000023316,True,50,8.992805755395683,0.18990474939346313,3.2621877193450928
intermediate_meso,tbx2b,ENSDARG00000006120,True,398,19.27360774818402,0.4146770238876343,4.099422931671143
intermediate_meso::day1,tbx2b,ENSDARG00000006120,True,62,10.490693739424705,0.18369542062282562,3.9089016914367676
intermediate_meso::day2,tbx2b,ENSDARG00000006120,True,264,28.75816993464052,0.6581674814224243,4.099422931671143
intermediate_meso::day3,tbx2b,ENSDARG00000006120,True,72,12.949640287769784,0.25817689299583435,4.084367275238037
transcription_factor_panel,mecom,ENSDARG00000060808,True,40,1.937046004842615,0.02799217775464058,2.312836170196533
transcription_factor_panel::day1,mecom,ENSDARG00000060808,True,19,3.2148900169204735,0.04436959698796272,2.312836170196533
transcription_factor_panel::day2,mecom,ENSDARG00000060808,True,11,1.1982570806100217,0.016633290797472,2.220914363861084
transcription_factor_panel::day3,mecom,ENSDARG00000060808,True,10,1.7985611510791366,0.029338233172893524,2.2654736042022705
transcription_factor_panel,foxc1a,ENSDARG00000091481,True,149,7.215496368038742,0.13812467455863953,3.606576681137085
transcription_factor_panel::day1,foxc1a,ENSDARG00000091481,True,19,3.2148900169204735,0.05033661052584648,2.581461191177368
transcription_factor_panel::day2,foxc1a,ENSDARG00000091481,True,97,10.56644880174292,0.20639300346374512,3.606576681137085
transcription_factor_panel::day3,foxc1a,ENSDARG00000091481,True,33,5.935251798561151,0.11872252821922302,2.9545278549194336
transcription_factor_panel,pou3f3a,ENSDARG00000042032,True,290,14.043583535108958,0.2294585257768631,3.672548770904541
transcription_factor_panel::day1,pou3f3a,ENSDARG00000042032,True,134,22.673434856175973,0.36164966225624084,3.2229721546173096
transcription_factor_panel::day2,pou3f3a,ENSDARG00000042032,True,95,10.348583877995644,0.15853047370910645,2.894766330718994
transcription_factor_panel::day3,pou3f3a,ENSDARG00000042032,True,61,10.971223021582734,0.20605388283729553,3.672548770904541
transcription_factor_panel,tbx2b,ENSDARG00000006120,True,398,19.27360774818402,0.4146770238876343,4.099422931671143
transcription_factor_panel::day1,tbx2b,ENSDARG00000006120,True,62,10.490693739424705,0.18369542062282562,3.9089016914367676
transcription_factor_panel::day2,tbx2b,ENSDARG00000006120,True,264,28.75816993464052,0.6581674814224243,4.099422931671143
transcription_factor_panel::day3,tbx2b,ENSDARG00000006120,True,72,12.949640287769784,0.25817689299583435,4.084367275238037
transcription_factor_panel,gata3,ENSDARG00000016526,True,122,5.907990314769976,0.10027118772268295,3.038620710372925
transcription_factor_panel::day1,gata3,ENSDARG00000016526,True,13,2.199661590524535,0.03343517705798149,2.3620336055755615
transcription_factor_panel::day2,gata3,ENSDARG00000016526,True,78,8.49673202614379,0.14566361904144287,3.038620710372925
transcription_factor_panel::day3,gata3,ENSDARG00000016526,True,31,5.575539568345324,0.0963679626584053,2.95121693611145
